lang-id	latitude	longitude
ifm 	 -3.59003 	 15.50605
NOCODE_Jan-Awei 	 9.66113 	 11.38412
xtw 	 -13.23958 	 -59.99245
auc 	 -1.12312 	 -76.68295
aub 	 23.00000 	 103.00000
aue 	 -21.05535 	 21.17930
aud 	 -11.75000 	 169.75000
aug 	 7.49256 	 1.74452
xtp 	 16.99438 	 -97.20561
aui 	 -9.66920 	 149.82236
auh 	 -11.62955 	 29.01676
auk 	 -3.83003 	 142.47056
auj 	 29.23411 	 21.18188
aum 	 10.08494 	 5.42081
aul 	 -16.35787 	 167.69684
auo 	 9.85747 	 11.32197
aun 	 -3.38127 	 141.80584
auq 	 -2.26271 	 139.50194
aup 	 -8.37312 	 142.70555
xte 	 -4.50417 	 140.44268
aur 	 -3.37841 	 142.71539
xtc 	 10.84227 	 29.49142
aut 	 -23.38431 	 -149.46195
auw 	 -3.00564 	 140.60389
auy 	 -6.54079 	 145.75972
aux 	 -4.13700 	 -46.79200
xtm 	 17.28374 	 -97.54133
auz 	 40.26116 	 65.38644
xtj 	 17.15417 	 -97.38989
xti 	 17.22185 	 -97.59043
fuv 	 10.99725 	 11.11882
NOCODE_Tarjumo 	 11.85230 	 13.15796
wja 	 9.91175 	 11.72062
fuu 	 4.48501 	 20.64478
nmu 	 40.41023 	 -120.64525
mlf 	 19.27304 	 101.20352
upi 	 -3.34565 	 141.15692
fuq 	 15.09071 	 8.43261
mlj 	 10.23467 	 17.41261
upv 	 -16.00951 	 167.34643
amw 	 33.81622 	 36.48403
ife 	 7.63569 	 1.58495
lmy 	 -9.70434 	 119.34430
amv 	 -3.85919 	 127.19640
fuy 	 -8.63710 	 147.31162
NOCODE_Old-Telugu 	  	 
mlr 	 10.94813 	 14.21306
nem 	 -20.67915 	 164.79733
nej 	 -5.60034 	 146.30617
nek 	 -21.65240 	 165.57757
neh 	 27.37317 	 90.39465
NOCODE_Eastern-Khanty 	  	 
neg 	 52.96584 	 139.20575
ned 	 7.06500 	 10.47000
nee 	 -20.40350 	 164.19283
neb 	 7.76747 	 -7.33105
nec 	 -8.28776 	 124.19184
nea 	 -8.82745 	 121.12061
fue 	 9.80100 	 3.98800
nez 	 46.30731 	 -116.40787
nex 	 -8.44877 	 141.84917
ney 	 4.95048 	 -6.08043
nev 	 15.10343 	 106.54295
new 	 27.26145 	 84.95772
net 	 -5.02368 	 143.02860
ner 	 -1.94317 	 132.09609
nes 	 31.85031 	 78.57280
neq 	 17.17947 	 -95.70318
mee 	 -5.47036 	 151.37257
med 	 -5.62644 	 144.33974
mef 	 25.12916 	 91.61318
mea 	 5.94639 	 9.69161
NOCODE_Lwel 	 -4.38475 	 20.63141
meb 	 -7.30342 	 143.61799
mem 	 -18.65975 	 123.76940
mel 	 3.68981 	 113.18825
meo 	 5.93300 	 100.49200
men 	 7.90935 	 -10.99259
mei 	 14.78898 	 27.22359
xtu 	 18.08214 	 -96.73135
mek 	 -8.23853 	 146.58609
mej 	 -1.18016 	 133.61770
meu 	 -9.67492 	 147.42357
met 	 -5.91639 	 146.85898
mew 	 11.50069 	 11.90347
xtt 	 16.96482 	 -97.45367
meq 	 10.74580 	 14.09000
mep 	 -16.35960 	 128.88869
mes 	 13.07604 	 19.27686
mer 	 0.26484 	 37.73964
xts 	 17.01996 	 -97.30365
mey 	 20.14644 	 -2.40278
mez 	 44.97941 	 -88.63948
dry 	 27.86230 	 84.13573
NOCODE_Japhug 	  	 
xtq 	  	 
